Ticker,EntryDate,ExitDate,EP,XP,Ret,Reason,GainLoss
CVNA,2024-04-08,2024-04-12,17.15,15.72,-8.34,RankDrop,-709565.41
COIN,2024-04-04,2024-04-16,260.28,222.88,-14.37,StopLoss,-1324753.63
APP,2024-04-16,2024-04-26,70.85,70.05,-1.12,RankDrop,-37685.32
VST,2024-04-12,2024-06-04,70.75,91.34,29.1,TrendExit,2496141.65
SMTC,2024-04-26,2024-06-10,37.39,31.29,-16.31,StopLoss,-1407970.49
CRS,2024-06-10,2024-06-25,103.37,100.19,-3.07,RankDrop,-245478.02
INSM,2024-06-25,2024-07-05,69.57,63.03,-9.41,StopLoss,-781660.6
CDE,2024-06-04,2024-07-10,5.46,6.3,15.45,RankDrop,1511102.35
ASTS,2024-07-05,2024-08-02,11.43,19.75,72.85,MacroShield,5861210.95
INSM,2024-07-10,2024-08-02,71.29,73.41,2.98,MacroShield,273515.19
CRS,2024-09-05,2024-10-03,141.45,156.97,10.97,RankDrop,1435636.47
RKT,2024-09-05,2024-10-04,19.43,17.02,-12.39,StopLoss,-1704131.93
CAVA,2024-10-03,2024-10-31,125.08,132.41,5.86,RankDrop,984317.64
RKLB,2024-10-04,2024-11-14,9.75,19.42,99.2,RankDrop,15682253.1
APP,2024-10-31,2024-12-11,206.54,327.43,58.53,TrendExit,18227615.73
IONQ,2024-11-14,2024-12-13,27.91,30.21,8.24,RankDrop,3534431.66
COIN,2024-12-13,2024-12-19,316.16,290.49,-8.12,StopLoss,-4411089.4
PLTR,2024-12-19,2025-01-14,74.03,67.14,-9.3,StopLoss,-3971453.16
SOFI,2024-12-11,2025-01-15,15.51,15.35,-1.01,RankDrop,-574214.1
BROS,2025-01-15,2025-02-13,60.85,84.52,38.9,RankDrop,16140922.85
OKLO,2025-02-13,2025-02-20,55.44,44.58,-19.58,StopLoss,-10317634.82
HOOD,2025-02-20,2025-02-24,59.12,52.21,-11.68,StopLoss,-5723999.84
AS,2025-01-14,2025-02-28,30.99,28.33,-8.6,RankDrop,-4614960.56
BROS,2025-02-28,2025-03-07,75.09,64.65,-13.9,StopLoss,-2706489.89
TPR,2025-02-24,2025-03-07,83.02,75.45,-9.12,MacroShield,-3634099.39
DUOL,2025-05-27,2025-06-12,528.29,475.11,-10.07,StopLoss,-3013966.94
PLTR,2025-05-27,2025-06-25,126.88,144.41,13.82,RankDrop,4136633.2
CAR,2025-06-12,2025-07-31,126.78,168.9,33.22,TrendExit,10782099.48
CRDO,2025-06-25,2025-08-20,95.39,104.44,9.49,TrendExit,5135623.38
MP,2025-07-31,2025-08-21,59.91,68.17,13.79,RankDrop,7832017.44
IREN,2025-08-21,2025-09-05,19.14,27.14,41.77,RankDrop,25840945.84
ALAB,2025-09-05,2025-10-03,208.96,212.39,1.64,RankDrop,2497783.09
ECHO,2025-10-03,2025-10-17,79.39,72.17,-9.09,RankDrop,-15022893.96
BE,2025-08-20,2025-10-23,50.84,94.19,85.28,TrendExit,92234795.84
APLD,2025-10-17,2025-10-23,35.02,31.2,-10.89,StopLoss,-22639108.44
CIEN,2025-10-23,2025-11-19,164.56,187.83,14.14,TrendExit,19913211.04
GSAT,2025-11-19,2025-12-18,63.54,58.31,-8.24,StopLoss,-22957268.36
ARWR,2025-10-23,2026-01-06,43.95,72.03,63.9,TrendExit,130882398.51
VICR,2025-12-18,2026-02-05,106.05,146.2,37.87,TrendExit,97301832.51
LITE,2026-01-06,2026-03-09,362.09,577.69,59.54,TrendExit,238290067.5
ALM,2026-02-05,2026-03-18,12.82,18.15,41.62,TrendExit,97507072.33
MRNA,2026-03-09,2026-03-23,53.33,51.21,-3.97,MacroShield,-13913856.62
SNDK,2026-03-18,2026-03-23,730.38,715.62,-2.02,MacroShield,-7007676.82
LITE,2026-04-13,2026-04-29,889.44,820.68,-7.73,StopLoss,-46606118.79
AAOI,2026-04-13,2026-05-11,148.6,152.18,2.41,RankDrop,14503188.05
CIEN,2026-04-29,2026-05-26,492.1,590.69,20.03,RankDrop,125298018.8
INTC,2026-05-26,2026-06-02,122.16,107.39,-12.09,StopLoss,-109003145.61
SNDK,2026-06-02,2026-06-08,1750.94,1633.14,-6.73,StopLoss,-60008815.18
FLEX,2026-06-08,2026-06-11,158.78,141.43,-10.93,StopLoss,-100568204.41
MRVL,2026-05-11,2026-06-12,163.71,269.86,64.84,MacroShield,458789325.7
ALAB,2026-06-11,2026-06-12,340.05,379.54,11.61,MacroShield,91431446.29
DELL,2026-07-23,2026-07-29,438.22,388.29,-11.39,StopLoss,-59565584.97
CORT,2026-07-23,2026-08-05,91.02,110.94,21.89,MacroShield,114466871.94
SNOW,2026-07-29,2026-08-05,277.04,317.32,14.54,MacroShield,73020775.78
